benchmark,input_size,rank,opcode,mean_count,percentage_of_total
recursion,20,4,OP_RETURN,21892.0,7.692523929329416
recursion,20,5,OP_CALL,21891.0,7.692172544169115
recursion,20,6,OP_GREATER,21891.0,7.692172544169115
recursion,20,7,OP_NOT,21891.0,7.692172544169115
recursion,20,8,OP_POP,21891.0,7.692172544169115
recursion,20,9,OP_JUMP_IF_FALSE,21891.0,7.692172544169115
recursion,20,10,OP_SUBTRACT,21890.0,7.691821159008813
recursion,25,1,OP_GET_LOCAL,606962.0,19.230722924013293
recursion,25,2,OP_CONSTANT,485570.0,15.384591012638577
recursion,25,3,OP_GET_GLOBAL,242786.0,7.69232718988914
recursion,25,4,OP_RETURN,242786.0,7.69232718988914
recursion,25,5,OP_CALL,242785.0,7.692295506319288
recursion,25,6,OP_GREATER,242785.0,7.692295506319288
recursion,25,7,OP_NOT,242785.0,7.692295506319288
recursion,25,8,OP_POP,242785.0,7.692295506319288
recursion,25,9,OP_JUMP_IF_FALSE,242785.0,7.692295506319288
recursion,25,10,OP_SUBTRACT,242784.0,7.692263822749437
recursion,30,1,OP_GET_LOCAL,6731342.0,19.230765055301283
recursion,30,2,OP_CONSTANT,5385074.0,15.384613187000676
recursion,30,3,OP_GET_GLOBAL,2692538.0,7.692309450399461
recursion,30,4,OP_RETURN,2692538.0,7.692309450399461
recursion,30,5,OP_CALL,2692537.0,7.692306593500338
recursion,30,6,OP_GREATER,2692537.0,7.692306593500338
recursion,30,7,OP_NOT,2692537.0,7.692306593500338
recursion,30,8,OP_POP,2692537.0,7.692306593500338
recursion,30,9,OP_JUMP_IF_FALSE,2692537.0,7.692306593500338
recursion,30,10,OP_SUBTRACT,2692536.0,7.6923037366012155
recursion,35,1,OP_GET_LOCAL,74651757.0,19.2307688542676
recursion,35,2,OP_CONSTANT,59721406.0,15.384615186456632
recursion,35,3,OP_GET_GLOBAL,29860704.0,7.692307850834696
recursion,35,4,OP_RETURN,29860704.0,7.692307850834696
recursion,35,5,OP_CALL,29860703.0,7.692307593228316
recursion,35,6,OP_GREATER,29860703.0,7.692307593228316
recursion,35,7,OP_NOT,29860703.0,7.692307593228316
recursion,35,8,OP_POP,29860703.0,7.692307593228316
recursion,35,9,OP_JUMP_IF_FALSE,29860703.0,7.692307593228316
recursion,35,10,OP_SUBTRACT,29860702.0,7.692307335621935
